"ip_address","ip_prefix","application_id"
"46.188.37.16",32,163
"46.188.42.176",32,163
"46.194.152.84",32,163
"46.216.13.47",32,163
"46.223.72.91",32,163
"46.223.79.223",32,163
"46.223.141.167",32,163
"46.223.205.25",32,163
"46.223.247.30",32,163
"46.226.109.48",32,163
"46.226.110.185",32,163
"46.227.96.218",32,163
"46.228.4.91",32,163
"46.228.199.19",32,163
"46.229.238.172",32,163
"46.233.0.70",32,163
"46.233.237.187",32,163
"46.235.227.70",32,163
"46.236.149.224",32,163
"46.239.98.172",32,163
"46.239.100.114",32,163
"46.239.107.74",32,163
"46.239.108.194",32,163
"46.239.117.180",32,163
"46.242.98.61",32,163
"46.244.138.251",32,163
"46.245.200.65",32,163
"46.246.20.132",32,163
"46.246.34.12",32,163
"46.246.35.229",32,163
"46.246.46.27",32,163
"46.246.89.169",32,163
"46.246.108.174",32,163
"46.246.111.207",32,163
"46.249.37.143",32,163
"46.252.24.56",32,163
"46.252.24.246",32,163
"46.252.25.249",32,163
"46.252.26.2",32,163
"46.252.152.192",32,163
"46.254.75.168",32,163
"47.55.110.188",32,163
"49.205.52.43",32,163
"49.212.166.38",32,163
"49.212.173.222",32,163
"49.212.194.113",32,163
"50.1.99.233",32,163
"50.7.8.114",32,163
"50.7.61.106",32,163
"50.7.161.218",32,163
"50.7.176.59",32,163
"50.7.176.59",32,163
"50.7.176.60",32,163
"50.7.176.61",32,163
"50.7.176.61",32,163
"50.7.176.62",32,163
"50.7.184.58",32,163
"50.7.194.122",32,163
"50.7.210.218",32,163
"50.7.243.107",32,163
"50.7.243.107",32,163
"50.9.47.238",32,163
"50.31.76.195",32,163
"50.31.255.94",32,163
"50.35.0.244",32,163
"50.37.84.161",32,163
"50.43.10.240",32,163
"50.43.56.182",32,163
"50.46.243.155",32,163
"50.53.74.2",32,163
"50.53.90.251",32,163
"50.57.149.204",32,163
"50.69.160.198",32,163
"50.72.196.206",32,163
"50.76.159.218",32,163
"50.78.197.1",32,163
"50.79.32.54",32,163
"50.81.25.71",32,163
"50.83.32.89",32,163
"50.88.40.73",32,163
"50.88.192.245",32,163
"50.90.2.70",32,163
"50.93.248.154",32,163
"50.93.249.228",32,163
"50.111.5.222",32,163
"50.111.200.111",32,163
"50.113.15.173",32,163
"50.115.117.185",32,163
"50.115.122.68",32,163
"50.115.233.62",32,163
"50.116.0.149",32,163
"50.116.3.223",32,163
"50.116.4.141",32,163
"50.116.5.153",32,163
"50.116.10.242",32,163
"50.116.21.172",32,163
"50.116.29.54",32,163
"50.116.29.54",32,163
"50.116.32.217",32,163
"50.116.34.44",32,163
"50.116.40.6",32,163
"50.116.42.245",32,163
"50.116.46.20",32,163
"50.116.47.171",32,163
"50.116.49.46",32,163
"50.116.50.12",32,163
"50.116.50.12",32,163
"50.116.54.135",32,163
"50.116.56.48",32,163
"50.117.86.211",32,163
"50.130.147.191",32,163
"50.140.93.223",32,163
"50.143.100.17",32,163
"50.148.190.213",32,163
"50.152.241.198",32,163
"50.164.104.90",32,163
"50.168.68.53",32,163
"50.177.41.114",32,163
"50.177.175.26",32,163
"50.181.177.41",32,163
"50.193.143.42",32,163
"50.199.1.178",32,163
"50.241.30.145",32,163
"50.245.124.131",32,163
"50.247.75.205",32,163
"50.247.195.124",32,163
"50.249.2.54",32,163
"50.250.201.254",32,163
"50.250.208.17",32,163
"50.250.218.161",32,163
"50.255.97.93",32,163
"52.10.125.140",32,163
"54.64.35.244",32,163
"54.64.229.134",32,163
"54.65.172.254",32,163
"54.65.206.23",32,163
"54.65.206.44",32,163
"54.65.206.52",32,163
"54.65.206.57",32,163
"54.65.206.60",32,163
"54.65.206.67",32,163
"54.65.206.74",32,163
"54.65.206.79",32,163
"54.66.160.26",32,163
"54.66.237.141",32,163
"54.67.18.49",32,163
"54.68.29.170",32,163
"54.69.198.79",32,163
"54.73.218.138",32,163
